Name;Position;Club;Age;Int Caps;Int Goals;Wage;Value;Sale Value;Best Rating;Best Pot Rating;Squad Rep;Squad Status;GK Rating;SW Rating;DL Rating;DC Rating;DR Rating;WBL Rating;WBR Rating;DM Rating;ML Rating;MC Rating;MR Rating;AML Rating;AMC Rating;AMR Rating;FS Rating;TS Rating;GK Pot Rating;SW Pot Rating;DL Pot Rating;DC Pot Rating;DR Pot Rating;WBL Pot Rating;WBR Pot Rating;DM Pot Rating;ML Pot Rating;MC Pot Rating;MR Pot Rating;AML Pot Rating;AMC Pot Rating;AMR Pot Rating;FS Pot Rating;TS Pot Rating;Unique ID;Club ID
Lugüercio, Pablo;AM R, ST;Aldosivi;33;0;0;2.360;145.170;251.990;72,3% (W);72,3% (W);4750;First Team;0,3313;0,5401;0,6478;0,5205;0,6478;0,6467;0,6467;0,6257;0,6773;0,6540;0,7160;0,6773;0,6174;0,7228;0,6806;0,6408;0,3313;0,5401;0,6478;0,5205;0,6478;0,6467;0,6467;0,6292;0,6773;0,6588;0,7160;0,6773;0,6174;0,7228;0,6806;0,6408;951088;108510
Martínez, Damián;D/WB R;Aldosivi;25;0;0;950;1.125.750;2.279.120;68,8% (FB);68,8% (FB);4750;First Team;0,3539;0,5820;0,6403;0,5769;0,6878;0,6306;0,6730;0,6117;0,6238;0,6147;0,6595;0,6238;0,5593;0,6238;0,6022;0,5801;0,3539;0,5820;0,6403;0,5769;0,6878;0,6306;0,6730;0,6115;0,6238;0,6144;0,6595;0,6238;0,5593;0,6238;0,6022;0,5801;14004045;108510
Menseguez, Juan Carlos;AM RL, ST;Aldosivi;31;0;0;1.970;259.670;314.450;66,9% (FS);68,4% (FS);4750;Rotation;0,2952;0,4910;0,5418;0,4732;0,5418;0,5503;0,5503;0,5479;0,6188;0,5807;0,6570;0,6604;0,6346;0,6632;0,6687;0,5970;0,3026;0,5036;0,5547;0,4846;0,5547;0,5627;0,5627;0,5644;0,6321;0,5988;0,6711;0,6746;0,6497;0,6774;0,6840;0,6098;951029;108510
Miracco, Nicolás;AM/F C;Aldosivi;24;0;0;1.000;1.069.460;1.770.820;66,6% (FS);68,5% (FS);4750;Rotation;0,3361;0,4779;0,5555;0,4342;0,5555;0,5628;0,5628;0,5426;0,6109;0,5771;0,6458;0,6109;0,6439;0,6485;0,6655;0,5705;0,3452;0,4950;0,5738;0,4495;0,5738;0,5809;0,5809;0,5615;0,6285;0,5972;0,6644;0,6285;0,6620;0,6672;0,6849;0,5870;14060067;108510
Quilez, Ismael;D/WB R;Aldosivi;27;2;0;1.920;945.430;1.575.970;68,2% (FB);68,2% (FB);4750;Rotation;0,3151;0,5689;0,6351;0,5496;0,6823;0,6275;0,6725;0,6046;0,6182;0,6098;0,6563;0,6182;0,5463;0,6182;0,5810;0,5508;0,3151;0,5689;0,6351;0,5496;0,6823;0,6275;0,6725;0,6031;0,6182;0,6077;0,6563;0,6182;0,5463;0,6182;0,5810;0,5508;14021804;108510
Rivero, Martín;AM C;Aldosivi;26;0;0;2.060;1.161.230;1.939.470;68,3% (W);69,3% (W);4750;Rotation;0,3195;0,5243;0,6257;0,5159;0,6257;0,6269;0,6269;0,6264;0,6792;0,6755;0,6830;0,6777;0,6285;0,6806;0,6324;0,5761;0,3233;0,5324;0,6353;0,5228;0,6353;0,6363;0,6363;0,6351;0,6890;0,6846;0,6929;0,6875;0,6380;0,6904;0,6423;0,5837;14009918;108510
Sand, José;ST;Aldosivi;35;2;0;2.430;164.280;279.150;75,0% (TS);75,0% (TS);4750;First Team;0,3292;0,5987;0,5972;0,6235;0,5972;0,5901;0,5901;0,6290;0,6351;0,6384;0,6351;0,6351;0,5908;0,6351;0,6955;0,7496;0,3292;0,5987;0,5972;0,6235;0,5972;0,5901;0,5901;0,6288;0,6351;0,6381;0,6351;0,6351;0,5908;0,6351;0,6955;0,7496;3100224;108510
Seccafién, Enrique;AM RC;Aldosivi;31;0;0;1.070;376.470;634.460;68,8% (AM);69,8% (AM);4750;First Team;0,3481;0,4914;0,5476;0,4554;0,5476;0,5544;0,5544;0,5712;0,6328;0,6531;0,6753;0,6328;0,6884;0,6753;0,6465;0,5476;0,3519;0,4995;0,5573;0,4624;0,5573;0,5640;0,5640;0,5809;0,6423;0,6641;0,6854;0,6423;0,6981;0,6854;0,6559;0,5550;956297;108510
Soto, Carlos;D LC;Aldosivi;32;0;0;1.560;174.800;299.320;67,5% (CB);68,0% (CB);4750;First Team;0,3258;0,6204;0,6710;0,6748;0,6246;0,6404;0,6000;0,5883;0,5548;0,5711;0,5548;0,5548;0,4545;0,5548;0,4981;0,5918;0,3287;0,6256;0,6761;0,6799;0,6293;0,6452;0,6046;0,5904;0,5595;0,5719;0,5595;0,5595;0,4599;0,5595;0,5035;0,5961;964416;108510
Vargas, Roque;D RC;Aldosivi;27;0;0;1.520;934.150;1.840.160;63,7% (FB);64,3% (FB);4750;Rotation;0,3551;0,5541;0,5972;0,5907;0,6373;0,5805;0,6162;0,5543;0,5526;0,5560;0,5526;0,5526;0,4858;0,5526;0,5092;0,5227;0,3580;0,5597;0,6021;0,5950;0,6425;0,5848;0,6209;0,5623;0,5561;0,5645;0,5561;0,5561;0,4894;0,5561;0,5128;0,5254;14018583;108510
Vega, Matías;GK;Aldosivi;29;0;0;1.340;620.620;704.470;64,0% (GK);65,5% (GK);4750;Backup;0,6403;0,4586;0,4419;0,4370;0,4419;0,4300;0,4300;0,4566;0,4519;0,4400;0,4519;0,4519;0,4152;0,4519;0,4276;0,4487;0,6552;0,4674;0,4504;0,4448;0,4504;0,4380;0,4380;0,4659;0,4599;0,4489;0,4599;0,4599;0,4225;0,4599;0,4352;0,4560;14009774;108510
Vildozo, Ángel;ST;Aldosivi;34;0;0;940;154.900;205.860;68,4% (TS);68,4% (TS);4750;Rotation;0,3229;0,5293;0,5186;0,5265;0,5186;0,5230;0,5230;0,5484;0,5969;0,5688;0,5969;0,5969;0,5767;0,5969;0,6637;0,6842;0,3229;0,5293;0,5186;0,5265;0,5186;0,5230;0,5230;0,5519;0,5969;0,5736;0,5969;0,5969;0,5767;0,5969;0,6637;0,6842;956088;108510
Basualdo, Germán;DM;Argentinos Jrs.;31;0;0;1.610;214.210;379.610;69,1% (M);71,0% (M);5850;Rotation;0,3310;0,5773;0,6446;0,5810;0,6446;0,6336;0,6336;0,6875;0,6418;0,6913;0,6838;0,6418;0,5868;0,6418;0,5915;0,5871;0,3401;0,5941;0,6622;0,5963;0,6622;0,6510;0,6510;0,7059;0,6589;0,7103;0,7020;0,6589;0,6033;0,6589;0,6093;0,6022;957690;78
Cabral, Luciano;AM C;Argentinos Jrs.;21;0;0;1.630;1.001.000;2.273.180;69,0% (M);77,9% (M);5850;First Team;0,2931;0,5501;0,6354;0,5167;0,6354;0,6345;0,6345;0,6015;0,6716;0,6901;0,6716;0,6716;0,6787;0,6716;0,6709;0,6048;0,3355;0,6279;0,7208;0,5855;0,7208;0,7184;0,7184;0,6832;0,7551;0,7790;0,7551;0,7551;0,7706;0,7551;0,7607;0,6774;14036722;78
Cano, Lucas;ST;Argentinos Jrs.;20;0;0;1.410;750.500;1.673.240;67,0% (FS);69,5% (FS);5850;First Team;0,3374;0,5166;0,5452;0,4815;0,5452;0,5497;0,5497;0,5447;0,6098;0,5732;0,6098;0,6098;0,6237;0,6098;0,6703;0,6170;0,3487;0,5354;0,5650;0,4978;0,5650;0,5693;0,5693;0,5628;0,6311;0,5917;0,6311;0,6311;0,6476;0,6311;0,6951;0,6364;14061629;78
Flores, Franco;D C, DM;Argentinos Jrs.;22;0;0;1.350;302.520;394.170;64,6% (CB);70,6% (CB);5850;First Team;0,3404;0,5864;0,5982;0,6459;0,5982;0,5875;0,5875;0,6189;0,5943;0,5898;0,5943;0,5943;0,5376;0,5943;0,5532;0,5773;0,3763;0,6488;0,6627;0,7056;0,6627;0,6514;0,6514;0,6861;0,6593;0,6548;0,6593;0,6593;0,6056;0,6593;0,6210;0,6315;14037050;78
Franzoia, Andrés;AM RL, ST;Argentinos Jrs.;30;0;0;1.850;428.940;836.820;66,5% (FS);70,0% (FS);5850;First Team;0,3252;0,4955;0,5572;0,4708;0,5572;0,5678;0,5678;0,5569;0,6222;0,5938;0,6222;0,6640;0,6310;0,6640;0,6654;0,5860;0,3418;0,5250;0,5876;0,4975;0,5876;0,5977;0,5977;0,5857;0,6525;0,6231;0,6525;0,6963;0,6637;0,6963;0,6999;0,6150;963260;78
Freire, Nicolás;D LC;Argentinos Jrs.;21;0;0;2.460;1.300.210;1.384.970;64,4% (CB);69,6% (FB);5850;Hot Prospect;0,3371;0,5843;0,6425;0,6441;0,6004;0,6188;0,5854;0,5601;0,5734;0,5649;0,5734;0,5734;0,4975;0,5734;0,5364;0,5482;0,3634;0,6337;0,6957;0,6916;0,6501;0,6697;0,6335;0,6082;0,6211;0,6129;0,6211;0,6211;0,5452;0,6211;0,5862;0,5905;14036721;78
Gabbarini, Adrián;GK;Argentinos Jrs.;30;3;0;1.760;671.250;1.420.990;69,5% (GK);71,5% (GK);5850;First Team;0,6947;0,4818;0,4778;0,4648;0,4778;0,4748;0,4748;0,5280;0,5043;0,5234;0,5043;0,5043;0,4648;0,5043;0,4662;0,5055;0,7150;0,4936;0,4899;0,4750;0,4899;0,4865;0,4865;0,5411;0,5163;0,5364;0,5163;0,5163;0,4760;0,5163;0,4778;0,5161;961243;78
Garré, Ezequiel;D/WB/M L;Argentinos Jrs.;34;0;0;1.110;54.500;124.130;73,2% (FB);73,2% (FB);5850;First Team;0,3358;0,6102;0,7324;0,5886;0,6843;0,7223;0,6724;0,6535;0,7094;0,6460;0,6628;0,6628;0,5785;0,6628;0,6028;0,5852;0,3358;0,6102;0,7324;0,5886;0,6843;0,7223;0,6724;0,6545;0,7094;0,6473;0,6628;0,6628;0,5785;0,6628;0,6028;0,5852;963480;78
Giménez, Matías;WB/M L;Argentinos Jrs.;31;0;0;1.280;250.900;218.610;64,8% (W);66,7% (W);5850;Backup;0,3060;0,5235;0,5878;0,5107;0,5878;0,6294;0,5881;0,5670;0,6483;0,5867;0,6379;0,6418;0,5557;0,6034;0,5629;0,5309;0,3152;0,5396;0,6054;0,5249;0,6054;0,6480;0,6055;0,5827;0,6665;0,6027;0,6558;0,6599;0,5722;0,6204;0,5804;0,5449;958736;78
Giovini, Sebastián;GK;Argentinos Jrs.;25;0;0;840;405.920;589.430;58,3% (GK);64,3% (GK);5850;Backup;0,5827;0,4366;0,4609;0,3864;0,4609;0,4488;0,4488;0,4620;0,4602;0,4612;0,4602;0,4602;0,4264;0,4602;0,4346;0,4107;0,6430;0,4723;0,4964;0,4174;0,4964;0,4826;0,4826;0,4967;0,4945;0,4936;0,4945;0,4945;0,4580;0,4945;0,4674;0,4414;14037025;78
Guerreiro, Mariano;ST;Argentinos Jrs.;23;0;0;1.160;250.500;611.540;66,9% (FS);74,3% (FS);5850;Rotation;0,3729;0,5575;0,5667;0,5272;0,5667;0,5616;0,5616;0,5659;0,6160;0,5912;0,6160;0,6160;0,5854;0,6160;0,6689;0,6523;0,4054;0,6140;0,6252;0,5765;0,6252;0,6198;0,6198;0,6211;0,6794;0,6486;0,6794;0,6794;0,6528;0,6794;0,7429;0,7114;14037052;78
Ham, Ezequiel;DM;Argentinos Jrs.;21;0;0;1.700;950.950;2.298.290;69,3% (M);76,5% (M);5850;First Team;0,3660;0,5826;0,6480;0,5576;0,6480;0,6404;0,6404;0,6627;0,6567;0,6926;0,6567;0,6567;0,6140;0,6567;0,6261;0,5583;0,4014;0,6472;0,7155;0,6156;0,7155;0,7069;0,7069;0,7331;0,7239;0,7650;0,7239;0,7239;0,6836;0,7239;0,6969;0,6160;14037057;78
Laso, Joaquín;D RC;Argentinos Jrs.;25;0;0;1.260;487.660;1.019.690;69,8% (CB);73,4% (CB);5850;Rotation;0,3352;0,6681;0,6158;0,6980;0,6590;0,5995;0,5995;0,5802;0,5709;0,5729;0,5709;0,5709;0,5036;0,5709;0,5279;0,5718;0,3546;0,7072;0,6531;0,7337;0,6990;0,6358;0,6358;0,6178;0,6068;0,6111;0,6068;0,6068;0,5394;0,6068;0,5653;0,6033;14024902;78
Matricardi, Patricio;D C;Argentinos Jrs.;22;0;0;1.080;226.820;313.170;64,5% (FB);69,9% (FB);5850;Rotation;0,2949;0,5865;0,6063;0,6254;0,6448;0,5859;0,5859;0,5521;0,5463;0,5610;0,5463;0,5463;0,4568;0,5463;0,5061;0,5659;0,3253;0,6391;0,6573;0,6760;0,6991;0,6354;0,6354;0,6004;0,5950;0,6083;0,5950;0,5950;0,5064;0,5950;0,5579;0,6079;14047829;78
Rinaldi, Lautaro;ST;Argentinos Jrs.;22;0;0;1.890;765.210;1.720.960;73,3% (TS);78,9% (TS);5850;Key Player;0,3174;0,5647;0,5846;0,5474;0,5846;0,5877;0,5877;0,6094;0,6454;0,6338;0,6454;0,6454;0,6125;0,6454;0,7138;0,7329;0,3477;0,6185;0,6410;0,5946;0,6410;0,6438;0,6438;0,6615;0,7056;0,6875;0,7056;0,7056;0,6749;0,7056;0,7829;0,7893;14078037;78
Rius, Ciro;AM R, ST;Argentinos Jrs.;27;0;0;3.520;711.470;975.280;70,6% (FS);70,6% (FS);5850;Key Player;0,3671;0,5497;0,5926;0,5334;0,5926;0,6024;0,6024;0,5911;0,6565;0,6112;0,6983;0,6565;0,6242;0,7053;0,7058;0,6494;0,3671;0,5497;0,5926;0,5334;0,5926;0,6024;0,6024;0,5921;0,6565;0,6126;0,6983;0,6565;0,6242;0,7053;0,7058;0,6494;14022183;78
Rivero, Diego;M RC;Argentinos Jrs.;34;0;0;1.470;72.700;105.470;71,7% (M);71,9% (M);5850;Rotation;0,3115;0,5591;0,6689;0,5637;0,6689;0,6590;0,6853;0,6909;0,6600;0,7173;0,7091;0,6600;0,5986;0,6940;0,5981;0,5666;0,3115;0,5591;0,6689;0,5637;0,6689;0,6590;0,6853;0,6919;0,6600;0,7187;0,7091;0,6600;0,5986;0,6940;0,5981;0,5666;6300098;78
Rodríguez, Lucas;D/WB L;Argentinos Jrs.;22;0;0;2.180;507.000;717.120;65,7% (WB);71,0% (WB);5850;Rotation;0,3441;0,5258;0,6535;0,5032;0,6124;0,6574;0,6119;0,5735;0,6526;0,5936;0,6135;0,6135;0,5673;0,6135;0,5912;0,5064;0,3695;0,5733;0,7077;0,5444;0,6632;0,7104;0,6613;0,6192;0,7055;0,6385;0,6633;0,6633;0,6184;0,6633;0,6437;0,5474;14024134;78
Sabia, Juan;D C;Argentinos Jrs.;34;0;0;2.860;195.060;126.050;69,2% (CB);69,2% (CB);5850;Backup;0,3247;0,6028;0,6293;0,6916;0,5953;0,5773;0,5773;0,6028;0,5765;0,5845;0,5765;0,5765;0,4991;0,5765;0,5358;0,6286;0,3247;0,6028;0,6293;0,6916;0,5953;0,5773;0,5773;0,6038;0,5765;0,5858;0,5765;0,5765;0,4991;0,5765;0,5358;0,6286;965219;78
Torrén, Miguel Ángel;SW, D C;Argentinos Jrs.;27;0;0;2.170;1.275.850;3.422.800;70,9% (FB);76,0% (FB);5850;First Team;0,3408;0,6633;0,6656;0,6856;0,7091;0,6507;0,6507;0,6510;0,6250;0,6340;0,6250;0,6250;0,5362;0,6250;0,5503;0,5776;0,3669;0,7145;0,7134;0,7317;0,7601;0,6971;0,6971;0,6930;0,6704;0,6742;0,6704;0,6704;0,5818;0,6704;0,5976;0,6159;962965;78
Zapata, Martín;DM, M RLC;Argentinos Jrs.;36;0;0;1.410;72.700;155.360;69,6% (M);69,9% (M);5850;First Team;0,2918;0,5461;0,6502;0,5416;0,6502;0,6430;0,6430;0,6748;0,6853;0,6960;0,6853;0,6422;0,6218;0,6422;0,6026;0,5499;0,2918;0,5461;0,6502;0,5416;0,6502;0,6430;0,6430;0,6772;0,6853;0,6993;0,6853;0,6422;0,6218;0,6422;0,6026;0,5499;6300222;78
Caneo, Miguel;AM C;Arsenal de Sarandí;32;0;0;2.890;79.960;96.960;70,9% (FS);70,9% (FS);5850;Rotation;0,3334;0,5562;0,5846;0,5477;0,5846;0,5934;0,5934;0,6145;0,6713;0,6890;0,6713;0,6713;0,7054;0,6713;0,7086;0,6783;0,3334;0,5562;0,5846;0,5477;0,5846;0,5934;0,5934;0,6181;0,6713;0,6940;0,6713;0,6713;0,7054;0,6713;0,7086;0,6783;956072;102476
Carrera, Ramiro;AM RLC;Arsenal de Sarandí;22;0;0;2.700;2.001.000;3.661.210;70,6% (W);77,4% (W);5850;First Team;0,3364;0,5620;0,6068;0,5422;0,6068;0,6118;0,6118;0,5966;0,7064;0,6586;0,7043;0,7064;0,6715;0,7043;0,6396;0,5893;0,3683;0,6191;0,6701;0,5937;0,6701;0,6741;0,6741;0,6607;0,7741;0,7299;0,7718;0,7741;0,7405;0,7718;0,7044;0,6431;14064131;102476
Céliz, Milton;ST;Arsenal de Sarandí;23;0;0;2.760;2.001.000;3.570.370;63,8% (FS);68,1% (FS);5850;First Team;0,3096;0,5334;0,5806;0,4995;0,5806;0,5834;0,5834;0,5463;0,6026;0,5667;0,6026;0,6026;0,5733;0,6026;0,6376;0,5899;0,3280;0,5665;0,6154;0,5282;0,6154;0,6182;0,6182;0,5839;0,6404;0,6072;0,6404;0,6404;0,6125;0,6404;0,6814;0,6252;14063607;102476
Chimino, Christian;D/WB/M R;Arsenal de Sarandí;27;0;0;2.510;1.233.850;2.052.540;67,6% (FB);69,2% (FB);5850;First Team;0,3584;0,5631;0,6296;0,5463;0,6764;0,6232;0,6695;0,5849;0,6281;0,6023;0,6732;0,6281;0,5865;0,6281;0,5966;0,5479;0,3654;0,5765;0,6442;0,5578;0,6920;0,6374;0,6848;0,6011;0,6428;0,6195;0,6889;0,6428;0,6012;0,6428;0,6124;0,5598;14021208;102476
Corvalán, Claudio;D/WB L;Arsenal de Sarandí;26;0;0;1.660;266.930;354.730;66,4% (FB);68,7% (FB);5850;Rotation;0,3368;0,5920;0,6641;0,5921;0,6182;0,6468;0,6028;0,6002;0,5963;0,5980;0,5963;0,5963;0,5319;0,5963;0,5738;0,5976;0,3486;0,6130;0,6872;0,6107;0,6396;0,6692;0,6236;0,6183;0,6177;0,6153;0,6177;0,6177;0,5541;0,6177;0,5965;0,6162;14021217;102476
Costa, Franco;AM/F C;Arsenal de Sarandí;24;0;0;1.150;222.040;333.520;67,3% (FS);70,9% (FS);5850;Rotation;0,3139;0,4771;0,5367;0,4312;0,5367;0,5444;0,5444;0,5389;0,6117;0,5694;0,6117;0,6117;0,6502;0,6117;0,6735;0,5658;0,3308;0,5071;0,5684;0,4582;0,5684;0,5756;0,5756;0,5714;0,6433;0,6036;0,6433;0,6433;0,6846;0,6433;0,7086;0,5955;14082363;102476
Curado, Marcos;D RC;Arsenal de Sarandí;20;0;0;20;425.420;539.480;65,2% (FB);72,8% (FB);5850;Hot Prospect;0,3437;0,5697;0,6110;0,6089;0,6521;0,6002;0,6002;0,6017;0,5982;0,6100;0,5982;0,5982;0,5259;0,5982;0,5623;0,5884;0,3819;0,6400;0,6818;0,6763;0,7276;0,6688;0,6688;0,6663;0,6665;0,6730;0,6665;0,6665;0,5944;0,6665;0,6335;0,6488;14117387;102476
Curbelo, Jorge;D C;Arsenal de Sarandí;34;1;0;1.730;113.650;194.400;70,4% (CB);70,4% (CB);5850;First Team;0,2907;0,6258;0,6077;0,7040;0,6424;0,5848;0,5848;0,6102;0,5614;0,5953;0,5614;0,5614;0,4753;0,5614;0,5191;0,6236;0,2907;0,6258;0,6077;0,7040;0,6424;0,5848;0,5848;0,6087;0,5614;0,5932;0,5614;0,5614;0,4753;0,5614;0,5191;0,6236;5512975;102476
Fredes, Hernán;AM C;Arsenal de Sarandí;28;0;0;2.100;767.890;1.439.680;70,6% (W);74,8% (W);5850;First Team;0,3226;0,5295;0,6184;0,5062;0,6184;0,6183;0,6183;0,6151;0,7026;0,6985;0,7056;0,6912;0,6684;0,6989;0,6215;0,5560;0,3423;0,5663;0,6594;0,5389;0,6594;0,6585;0,6585;0,6517;0,7449;0,7381;0,7481;0,7328;0,7111;0,7410;0,6625;0,5893;14000557;102476
Lértora, Federico;DM;Arsenal de Sarandí;25;0;0;3.190;675.890;859.530;73,5% (DM);76,1% (DM);5850;Key Player;0,3440;0,6620;0,6878;0,6845;0,6878;0,6698;0,6698;0,7346;0,6683;0,7270;0,6683;0,6683;0,6128;0,6683;0,6147;0,6530;0,3562;0,6830;0,7089;0,7034;0,7089;0,6906;0,6906;0,7609;0,6898;0,7548;0,6898;0,6898;0,6356;0,6898;0,6375;0,6717;14021188;102476
López, Ramiro;AM LC;Arsenal de Sarandí;31;0;0;930;84.960;77.230;61,8% (W);63,6% (W);5850;Backup;0,3148;0,5033;0,5576;0,4802;0,5576;0,5599;0,5599;0,5465;0,6175;0,6063;0,5787;0,5787;0,5908;0,5787;0,5748;0,5132;0,3239;0,5198;0,5759;0,4956;0,5759;0,5778;0,5778;0,5639;0,6362;0,6258;0,5962;0,5962;0,6089;0,5962;0,5926;0,5285;958377;102476
Luna, Fernando;D/WB L;Arsenal de Sarandí;26;0;0;970;166.530;153.240;69,5% (FB);70,4% (FB);5850;Backup;0,3150;0,5268;0,6950;0,4841;0,6469;0,6888;0,6436;0,5807;0,6578;0,6069;0,6174;0,6174;0,5480;0,6174;0,5668;0,4830;0,3187;0,5349;0,7045;0,4910;0,6557;0,6980;0,6522;0,5900;0,6670;0,6166;0,6261;0,6261;0,5566;0,6261;0,5760;0,4899;14131910;102476
Marcone, Iván;DM;Arsenal de Sarandí;25;0;0;3.690;1.816.280;2.893.650;73,2% (M);76,4% (M);5850;Key Player;0,3740;0,6184;0,6782;0,6210;0,6782;0,6645;0,6645;0,7058;0,6813;0,7323;0,6813;0,6813;0,6375;0,6813;0,6494;0,6320;0,3900;0,6474;0,7088;0,6467;0,7088;0,6948;0,6948;0,7367;0,7116;0,7638;0,7116;0,7116;0,6685;0,7116;0,6810;0,6578;14018060;102476
Milo, Federico;D/WB/M L;Arsenal de Sarandí;24;0;0;1.660;338.120;446.450;66,3% (W);69,6% (W);5850;First Team;0,3106;0,5176;0,6308;0,4922;0,5871;0,6314;0,5877;0,5689;0,6635;0,5940;0,6199;0,6199;0,5763;0,6199;0,5935;0,5270;0,3266;0,5457;0,6634;0,5167;0,6175;0,6635;0,6176;0,6013;0,6957;0,6284;0,6501;0,6501;0,6072;0,6501;0,6252;0,5520;14035013;102476
