"Name";"Position";"Club";"Age";"Int Caps";"Int Goals";"Wage";"Value";"Sale Value";"Best Rating";"Best Pot Rating";"Squad Rep";"Squad Status";"GK Rating";"SW Rating";"DL Rating";"DC Rating";"DR Rating";"WBL Rating";"WBR Rating";"DM Rating";"ML Rating";"MC Rating";"MR Rating";"AML Rating";"AMC Rating";"AMR Rating";"FS Rating";"TS Rating";"GK Pot Rating";"SW Pot Rating";"DL Pot Rating";"DC Pot Rating";"DR Pot Rating";"WBL Pot Rating";"WBR Pot Rating";"DM Pot Rating";"ML Pot Rating";"MC Pot Rating";"MR Pot Rating";"AML Pot Rating";"AMC Pot Rating";"AMR Pot Rating";"FS Pot Rating";"TS Pot Rating";"Unique ID";"Club ID"
"Lugüercio, Pablo";"AM R, ST";"Aldosivi";"33";"0";"0";"2.360";"145.170";"251.990";"72,3% (W)";"72,3% (W)";"4750";"First Team";"33,13%";"54,01%";"64,78%";"52,05%";"64,78%";"64,67%";"64,67%";"62,57%";"67,73%";"65,40%";"71,60%";"67,73%";"61,74%";"72,28%";"68,06%";"64,08%";"33,13%";"54,01%";"64,78%";"52,05%";"64,78%";"64,67%";"64,67%";"62,92%";"67,73%";"65,88%";"71,60%";"67,73%";"61,74%";"72,28%";"68,06%";"64,08%";"951088";"108510"
"Martínez, Damián";"D/WB R";"Aldosivi";"25";"0";"0";"950";"1.125.750";"2.279.120";"68,8% (FB)";"68,8% (FB)";"4750";"First Team";"35,39%";"58,20%";"64,03%";"57,69%";"68,78%";"63,06%";"67,30%";"61,17%";"62,38%";"61,47%";"65,95%";"62,38%";"55,93%";"62,38%";"60,22%";"58,01%";"35,39%";"58,20%";"64,03%";"57,69%";"68,78%";"63,06%";"67,30%";"61,15%";"62,38%";"61,44%";"65,95%";"62,38%";"55,93%";"62,38%";"60,22%";"58,01%";"14004045";"108510"
"Menseguez, Juan Carlos";"AM RL, ST";"Aldosivi";"31";"0";"0";"1.970";"259.670";"314.450";"66,9% (FS)";"68,4% (FS)";"4750";"Rotation";"29,52%";"49,10%";"54,18%";"47,32%";"54,18%";"55,03%";"55,03%";"54,79%";"61,88%";"58,07%";"65,70%";"66,04%";"63,46%";"66,32%";"66,87%";"59,70%";"30,26%";"50,36%";"55,47%";"48,46%";"55,47%";"56,27%";"56,27%";"56,44%";"63,21%";"59,88%";"67,11%";"67,46%";"64,97%";"67,74%";"68,40%";"60,98%";"951029";"108510"
"Miracco, Nicolás";"AM/F C";"Aldosivi";"24";"0";"0";"1.000";"1.069.460";"1.770.820";"66,6% (FS)";"68,5% (FS)";"4750";"Rotation";"33,61%";"47,79%";"55,55%";"43,42%";"55,55%";"56,28%";"56,28%";"54,26%";"61,09%";"57,71%";"64,58%";"61,09%";"64,39%";"64,85%";"66,55%";"57,05%";"34,52%";"49,50%";"57,38%";"44,95%";"57,38%";"58,09%";"58,09%";"56,15%";"62,85%";"59,72%";"66,44%";"62,85%";"66,20%";"66,72%";"68,49%";"58,70%";"14060067";"108510"
"Quilez, Ismael";"D/WB R";"Aldosivi";"27";"2";"0";"1.920";"945.430";"1.575.970";"68,2% (FB)";"68,2% (FB)";"4750";"Rotation";"31,51%";"56,89%";"63,51%";"54,96%";"68,23%";"62,75%";"67,25%";"60,46%";"61,82%";"60,98%";"65,63%";"61,82%";"54,63%";"61,82%";"58,10%";"55,08%";"31,51%";"56,89%";"63,51%";"54,96%";"68,23%";"62,75%";"67,25%";"60,31%";"61,82%";"60,77%";"65,63%";"61,82%";"54,63%";"61,82%";"58,10%";"55,08%";"14021804";"108510"
"Rivero, Martín";"AM C";"Aldosivi";"26";"0";"0";"2.060";"1.161.230";"1.939.470";"68,3% (W)";"69,3% (W)";"4750";"Rotation";"31,95%";"52,43%";"62,57%";"51,59%";"62,57%";"62,69%";"62,69%";"62,64%";"67,92%";"67,55%";"68,30%";"67,77%";"62,85%";"68,06%";"63,24%";"57,61%";"32,33%";"53,24%";"63,53%";"52,28%";"63,53%";"63,63%";"63,63%";"63,51%";"68,90%";"68,46%";"69,29%";"68,75%";"63,80%";"69,04%";"64,23%";"58,37%";"14009918";"108510"
"Sand, José";"ST";"Aldosivi";"35";"2";"0";"2.430";"164.280";"279.150";"75,0% (TS)";"75,0% (TS)";"4750";"First Team";"32,92%";"59,87%";"59,72%";"62,35%";"59,72%";"59,01%";"59,01%";"62,90%";"63,51%";"63,84%";"63,51%";"63,51%";"59,08%";"63,51%";"69,55%";"74,96%";"32,92%";"59,87%";"59,72%";"62,35%";"59,72%";"59,01%";"59,01%";"62,88%";"63,51%";"63,81%";"63,51%";"63,51%";"59,08%";"63,51%";"69,55%";"74,96%";"3100224";"108510"
"Seccafién, Enrique";"AM RC";"Aldosivi";"31";"0";"0";"1.070";"376.470";"634.460";"68,8% (AM)";"69,8% (AM)";"4750";"First Team";"34,81%";"49,14%";"54,76%";"45,54%";"54,76%";"55,44%";"55,44%";"57,12%";"63,28%";"65,31%";"67,53%";"63,28%";"68,84%";"67,53%";"64,65%";"54,76%";"35,19%";"49,95%";"55,73%";"46,24%";"55,73%";"56,40%";"56,40%";"58,09%";"64,23%";"66,41%";"68,54%";"64,23%";"69,81%";"68,54%";"65,59%";"55,50%";"956297";"108510"
"Soto, Carlos";"D LC";"Aldosivi";"32";"0";"0";"1.560";"174.800";"299.320";"67,5% (CB)";"68,0% (CB)";"4750";"First Team";"32,58%";"62,04%";"67,10%";"67,48%";"62,46%";"64,04%";"60,00%";"58,83%";"55,48%";"57,11%";"55,48%";"55,48%";"45,45%";"55,48%";"49,81%";"59,18%";"32,87%";"62,56%";"67,61%";"67,99%";"62,93%";"64,52%";"60,46%";"59,04%";"55,95%";"57,19%";"55,95%";"55,95%";"45,99%";"55,95%";"50,35%";"59,61%";"964416";"108510"
"Vargas, Roque";"D RC";"Aldosivi";"27";"0";"0";"1.520";"934.150";"1.840.160";"63,7% (FB)";"64,3% (FB)";"4750";"Rotation";"35,51%";"55,41%";"59,72%";"59,07%";"63,73%";"58,05%";"61,62%";"55,43%";"55,26%";"55,60%";"55,26%";"55,26%";"48,58%";"55,26%";"50,92%";"52,27%";"35,80%";"55,97%";"60,21%";"59,50%";"64,25%";"58,48%";"62,09%";"56,23%";"55,61%";"56,45%";"55,61%";"55,61%";"48,94%";"55,61%";"51,28%";"52,54%";"14018583";"108510"
"Vega, Matías";"GK";"Aldosivi";"29";"0";"0";"1.340";"620.620";"704.470";"64,0% (GK)";"65,5% (GK)";"4750";"Backup";"64,03%";"45,86%";"44,19%";"43,70%";"44,19%";"43,00%";"43,00%";"45,66%";"45,19%";"44,00%";"45,19%";"45,19%";"41,52%";"45,19%";"42,76%";"44,87%";"65,52%";"46,74%";"45,04%";"44,48%";"45,04%";"43,80%";"43,80%";"46,59%";"45,99%";"44,89%";"45,99%";"45,99%";"42,25%";"45,99%";"43,52%";"45,60%";"14009774";"108510"
"Vildozo, Ángel";"ST";"Aldosivi";"34";"0";"0";"940";"154.900";"205.860";"68,4% (TS)";"68,4% (TS)";"4750";"Rotation";"32,29%";"52,93%";"51,86%";"52,65%";"51,86%";"52,30%";"52,30%";"54,84%";"59,69%";"56,88%";"59,69%";"59,69%";"57,67%";"59,69%";"66,37%";"68,42%";"32,29%";"52,93%";"51,86%";"52,65%";"51,86%";"52,30%";"52,30%";"55,19%";"59,69%";"57,36%";"59,69%";"59,69%";"57,67%";"59,69%";"66,37%";"68,42%";"956088";"108510"
"Basualdo, Germán";"DM";"Argentinos Jrs.";"31";"0";"0";"1.610";"214.210";"379.610";"69,1% (M)";"71,0% (M)";"5850";"Rotation";"33,10%";"57,73%";"64,46%";"58,10%";"64,46%";"63,36%";"63,36%";"68,75%";"64,18%";"69,13%";"68,38%";"64,18%";"58,68%";"64,18%";"59,15%";"58,71%";"34,01%";"59,41%";"66,22%";"59,63%";"66,22%";"65,10%";"65,10%";"70,59%";"65,89%";"71,03%";"70,20%";"65,89%";"60,33%";"65,89%";"60,93%";"60,22%";"957690";"78"
"Cabral, Luciano";"AM C";"Argentinos Jrs.";"21";"0";"0";"1.630";"1.001.000";"2.273.180";"69,0% (M)";"77,9% (M)";"5850";"First Team";"29,31%";"55,01%";"63,54%";"51,67%";"63,54%";"63,45%";"63,45%";"60,15%";"67,16%";"69,01%";"67,16%";"67,16%";"67,87%";"67,16%";"67,09%";"60,48%";"33,55%";"62,79%";"72,08%";"58,55%";"72,08%";"71,84%";"71,84%";"68,32%";"75,51%";"77,90%";"75,51%";"75,51%";"77,06%";"75,51%";"76,07%";"67,74%";"14036722";"78"
"Cano, Lucas";"ST";"Argentinos Jrs.";"20";"0";"0";"1.410";"750.500";"1.673.240";"67,0% (FS)";"69,5% (FS)";"5850";"First Team";"33,74%";"51,66%";"54,52%";"48,15%";"54,52%";"54,97%";"54,97%";"54,47%";"60,98%";"57,32%";"60,98%";"60,98%";"62,37%";"60,98%";"67,03%";"61,70%";"34,87%";"53,54%";"56,50%";"49,78%";"56,50%";"56,93%";"56,93%";"56,28%";"63,11%";"59,17%";"63,11%";"63,11%";"64,76%";"63,11%";"69,51%";"63,64%";"14061629";"78"
"Flores, Franco";"D C, DM";"Argentinos Jrs.";"22";"0";"0";"1.350";"302.520";"394.170";"64,6% (CB)";"70,6% (CB)";"5850";"First Team";"34,04%";"58,64%";"59,82%";"64,59%";"59,82%";"58,75%";"58,75%";"61,89%";"59,43%";"58,98%";"59,43%";"59,43%";"53,76%";"59,43%";"55,32%";"57,73%";"37,63%";"64,88%";"66,27%";"70,56%";"66,27%";"65,14%";"65,14%";"68,61%";"65,93%";"65,48%";"65,93%";"65,93%";"60,56%";"65,93%";"62,10%";"63,15%";"14037050";"78"
"Franzoia, Andrés";"AM RL, ST";"Argentinos Jrs.";"30";"0";"0";"1.850";"428.940";"836.820";"66,5% (FS)";"70,0% (FS)";"5850";"First Team";"32,52%";"49,55%";"55,72%";"47,08%";"55,72%";"56,78%";"56,78%";"55,69%";"62,22%";"59,38%";"62,22%";"66,40%";"63,10%";"66,40%";"66,54%";"58,60%";"34,18%";"52,50%";"58,76%";"49,75%";"58,76%";"59,77%";"59,77%";"58,57%";"65,25%";"62,31%";"65,25%";"69,63%";"66,37%";"69,63%";"69,99%";"61,50%";"963260";"78"
"Freire, Nicolás";"D LC";"Argentinos Jrs.";"21";"0";"0";"2.460";"1.300.210";"1.384.970";"64,4% (CB)";"69,6% (FB)";"5850";"Hot Prospect";"33,71%";"58,43%";"64,25%";"64,41%";"60,04%";"61,88%";"58,54%";"56,01%";"57,34%";"56,49%";"57,34%";"57,34%";"49,75%";"57,34%";"53,64%";"54,82%";"36,34%";"63,37%";"69,57%";"69,16%";"65,01%";"66,97%";"63,35%";"60,82%";"62,11%";"61,29%";"62,11%";"62,11%";"54,52%";"62,11%";"58,62%";"59,05%";"14036721";"78"
"Gabbarini, Adrián";"GK";"Argentinos Jrs.";"30";"3";"0";"1.760";"671.250";"1.420.990";"69,5% (GK)";"71,5% (GK)";"5850";"First Team";"69,47%";"48,18%";"47,78%";"46,48%";"47,78%";"47,48%";"47,48%";"52,80%";"50,43%";"52,34%";"50,43%";"50,43%";"46,48%";"50,43%";"46,62%";"50,55%";"71,50%";"49,36%";"48,99%";"47,50%";"48,99%";"48,65%";"48,65%";"54,11%";"51,63%";"53,64%";"51,63%";"51,63%";"47,60%";"51,63%";"47,78%";"51,61%";"961243";"78"
"Garré, Ezequiel";"D/WB/M L";"Argentinos Jrs.";"34";"0";"0";"1.110";"54.500";"124.130";"73,2% (FB)";"73,2% (FB)";"5850";"First Team";"33,58%";"61,02%";"73,24%";"58,86%";"68,43%";"72,23%";"67,24%";"65,35%";"70,94%";"64,60%";"66,28%";"66,28%";"57,85%";"66,28%";"60,28%";"58,52%";"33,58%";"61,02%";"73,24%";"58,86%";"68,43%";"72,23%";"67,24%";"65,45%";"70,94%";"64,73%";"66,28%";"66,28%";"57,85%";"66,28%";"60,28%";"58,52%";"963480";"78"
"Giménez, Matías";"WB/M L";"Argentinos Jrs.";"31";"0";"0";"1.280";"250.900";"218.610";"64,8% (W)";"66,7% (W)";"5850";"Backup";"30,60%";"52,35%";"58,78%";"51,07%";"58,78%";"62,94%";"58,81%";"56,70%";"64,83%";"58,67%";"63,79%";"64,18%";"55,57%";"60,34%";"56,29%";"53,09%";"31,52%";"53,96%";"60,54%";"52,49%";"60,54%";"64,80%";"60,55%";"58,27%";"66,65%";"60,27%";"65,58%";"65,99%";"57,22%";"62,04%";"58,04%";"54,49%";"958736";"78"
"Giovini, Sebastián";"GK";"Argentinos Jrs.";"25";"0";"0";"840";"405.920";"589.430";"58,3% (GK)";"64,3% (GK)";"5850";"Backup";"58,27%";"43,66%";"46,09%";"38,64%";"46,09%";"44,88%";"44,88%";"46,20%";"46,02%";"46,12%";"46,02%";"46,02%";"42,64%";"46,02%";"43,46%";"41,07%";"64,30%";"47,23%";"49,64%";"41,74%";"49,64%";"48,26%";"48,26%";"49,67%";"49,45%";"49,36%";"49,45%";"49,45%";"45,80%";"49,45%";"46,74%";"44,14%";"14037025";"78"
"Guerreiro, Mariano";"ST";"Argentinos Jrs.";"23";"0";"0";"1.160";"250.500";"611.540";"66,9% (FS)";"74,3% (FS)";"5850";"Rotation";"37,29%";"55,75%";"56,67%";"52,72%";"56,67%";"56,16%";"56,16%";"56,59%";"61,60%";"59,12%";"61,60%";"61,60%";"58,54%";"61,60%";"66,89%";"65,23%";"40,54%";"61,40%";"62,52%";"57,65%";"62,52%";"61,98%";"61,98%";"62,11%";"67,94%";"64,86%";"67,94%";"67,94%";"65,28%";"67,94%";"74,29%";"71,14%";"14037052";"78"
"Ham, Ezequiel";"DM";"Argentinos Jrs.";"21";"0";"0";"1.700";"950.950";"2.298.290";"69,3% (M)";"76,5% (M)";"5850";"First Team";"36,60%";"58,26%";"64,80%";"55,76%";"64,80%";"64,04%";"64,04%";"66,27%";"65,67%";"69,26%";"65,67%";"65,67%";"61,40%";"65,67%";"62,61%";"55,83%";"40,14%";"64,72%";"71,55%";"61,56%";"71,55%";"70,69%";"70,69%";"73,31%";"72,39%";"76,50%";"72,39%";"72,39%";"68,36%";"72,39%";"69,69%";"61,60%";"14037057";"78"
"Laso, Joaquín";"D RC";"Argentinos Jrs.";"25";"0";"0";"1.260";"487.660";"1.019.690";"69,8% (CB)";"73,4% (CB)";"5850";"Rotation";"33,52%";"66,81%";"61,58%";"69,80%";"65,90%";"59,95%";"59,95%";"58,02%";"57,09%";"57,29%";"57,09%";"57,09%";"50,36%";"57,09%";"52,79%";"57,18%";"35,46%";"70,72%";"65,31%";"73,37%";"69,90%";"63,58%";"63,58%";"61,78%";"60,68%";"61,11%";"60,68%";"60,68%";"53,94%";"60,68%";"56,53%";"60,33%";"14024902";"78"
"Matricardi, Patricio";"D C";"Argentinos Jrs.";"22";"0";"0";"1.080";"226.820";"313.170";"64,5% (FB)";"69,9% (FB)";"5850";"Rotation";"29,49%";"58,65%";"60,63%";"62,54%";"64,48%";"58,59%";"58,59%";"55,21%";"54,63%";"56,10%";"54,63%";"54,63%";"45,68%";"54,63%";"50,61%";"56,59%";"32,53%";"63,91%";"65,73%";"67,60%";"69,91%";"63,54%";"63,54%";"60,04%";"59,50%";"60,83%";"59,50%";"59,50%";"50,64%";"59,50%";"55,79%";"60,79%";"14047829";"78"
"Rinaldi, Lautaro";"ST";"Argentinos Jrs.";"22";"0";"0";"1.890";"765.210";"1.720.960";"73,3% (TS)";"78,9% (TS)";"5850";"Key Player";"31,74%";"56,47%";"58,46%";"54,74%";"58,46%";"58,77%";"58,77%";"60,94%";"64,54%";"63,38%";"64,54%";"64,54%";"61,25%";"64,54%";"71,38%";"73,29%";"34,77%";"61,85%";"64,10%";"59,46%";"64,10%";"64,38%";"64,38%";"66,15%";"70,56%";"68,75%";"70,56%";"70,56%";"67,49%";"70,56%";"78,29%";"78,93%";"14078037";"78"
"Rius, Ciro";"AM R, ST";"Argentinos Jrs.";"27";"0";"0";"3.520";"711.470";"975.280";"70,6% (FS)";"70,6% (FS)";"5850";"Key Player";"36,71%";"54,97%";"59,26%";"53,34%";"59,26%";"60,24%";"60,24%";"59,11%";"65,65%";"61,12%";"69,83%";"65,65%";"62,42%";"70,53%";"70,58%";"64,94%";"36,71%";"54,97%";"59,26%";"53,34%";"59,26%";"60,24%";"60,24%";"59,21%";"65,65%";"61,26%";"69,83%";"65,65%";"62,42%";"70,53%";"70,58%";"64,94%";"14022183";"78"
"Rivero, Diego";"M RC";"Argentinos Jrs.";"34";"0";"0";"1.470";"72.700";"105.470";"71,7% (M)";"71,9% (M)";"5850";"Rotation";"31,15%";"55,91%";"66,89%";"56,37%";"66,89%";"65,90%";"68,53%";"69,09%";"66,00%";"71,73%";"70,91%";"66,00%";"59,86%";"69,40%";"59,81%";"56,66%";"31,15%";"55,91%";"66,89%";"56,37%";"66,89%";"65,90%";"68,53%";"69,19%";"66,00%";"71,87%";"70,91%";"66,00%";"59,86%";"69,40%";"59,81%";"56,66%";"6300098";"78"
"Rodríguez, Lucas";"D/WB L";"Argentinos Jrs.";"22";"0";"0";"2.180";"507.000";"717.120";"65,7% (WB)";"71,0% (WB)";"5850";"Rotation";"34,41%";"52,58%";"65,35%";"50,32%";"61,24%";"65,74%";"61,19%";"57,35%";"65,26%";"59,36%";"61,35%";"61,35%";"56,73%";"61,35%";"59,12%";"50,64%";"36,95%";"57,33%";"70,77%";"54,44%";"66,32%";"71,04%";"66,13%";"61,92%";"70,55%";"63,85%";"66,33%";"66,33%";"61,84%";"66,33%";"64,37%";"54,74%";"14024134";"78"
"Sabia, Juan";"D C";"Argentinos Jrs.";"34";"0";"0";"2.860";"195.060";"126.050";"69,2% (CB)";"69,2% (CB)";"5850";"Backup";"32,47%";"60,28%";"62,93%";"69,16%";"59,53%";"57,73%";"57,73%";"60,28%";"57,65%";"58,45%";"57,65%";"57,65%";"49,91%";"57,65%";"53,58%";"62,86%";"32,47%";"60,28%";"62,93%";"69,16%";"59,53%";"57,73%";"57,73%";"60,38%";"57,65%";"58,58%";"57,65%";"57,65%";"49,91%";"57,65%";"53,58%";"62,86%";"965219";"78"
"Torrén, Miguel Ángel";"SW, D C";"Argentinos Jrs.";"27";"0";"0";"2.170";"1.275.850";"3.422.800";"70,9% (FB)";"76,0% (FB)";"5850";"First Team";"34,08%";"66,33%";"66,56%";"68,56%";"70,91%";"65,07%";"65,07%";"65,10%";"62,50%";"63,40%";"62,50%";"62,50%";"53,62%";"62,50%";"55,03%";"57,76%";"36,69%";"71,45%";"71,34%";"73,17%";"76,01%";"69,71%";"69,71%";"69,30%";"67,04%";"67,42%";"67,04%";"67,04%";"58,18%";"67,04%";"59,76%";"61,59%";"962965";"78"
"Zapata, Martín";"DM, M RLC";"Argentinos Jrs.";"36";"0";"0";"1.410";"72.700";"155.360";"69,6% (M)";"69,9% (M)";"5850";"First Team";"29,18%";"54,61%";"65,02%";"54,16%";"65,02%";"64,30%";"64,30%";"67,48%";"68,53%";"69,60%";"68,53%";"64,22%";"62,18%";"64,22%";"60,26%";"54,99%";"29,18%";"54,61%";"65,02%";"54,16%";"65,02%";"64,30%";"64,30%";"67,72%";"68,53%";"69,93%";"68,53%";"64,22%";"62,18%";"64,22%";"60,26%";"54,99%";"6300222";"78"
"Caneo, Miguel";"AM C";"Arsenal de Sarandí";"32";"0";"0";"2.890";"79.960";"96.960";"70,9% (FS)";"70,9% (FS)";"5850";"Rotation";"33,34%";"55,62%";"58,46%";"54,77%";"58,46%";"59,34%";"59,34%";"61,45%";"67,13%";"68,90%";"67,13%";"67,13%";"70,54%";"67,13%";"70,86%";"67,83%";"33,34%";"55,62%";"58,46%";"54,77%";"58,46%";"59,34%";"59,34%";"61,81%";"67,13%";"69,40%";"67,13%";"67,13%";"70,54%";"67,13%";"70,86%";"67,83%";"956072";"102476"
"Carrera, Ramiro";"AM RLC";"Arsenal de Sarandí";"22";"0";"0";"2.700";"2.001.000";"3.661.210";"70,6% (W)";"77,4% (W)";"5850";"First Team";"33,64%";"56,20%";"60,68%";"54,22%";"60,68%";"61,18%";"61,18%";"59,66%";"70,64%";"65,86%";"70,43%";"70,64%";"67,15%";"70,43%";"63,96%";"58,93%";"36,83%";"61,91%";"67,01%";"59,37%";"67,01%";"67,41%";"67,41%";"66,07%";"77,41%";"72,99%";"77,18%";"77,41%";"74,05%";"77,18%";"70,44%";"64,31%";"14064131";"102476"
"Céliz, Milton";"ST";"Arsenal de Sarandí";"23";"0";"0";"2.760";"2.001.000";"3.570.370";"63,8% (FS)";"68,1% (FS)";"5850";"First Team";"30,96%";"53,34%";"58,06%";"49,95%";"58,06%";"58,34%";"58,34%";"54,63%";"60,26%";"56,67%";"60,26%";"60,26%";"57,33%";"60,26%";"63,76%";"58,99%";"32,80%";"56,65%";"61,54%";"52,82%";"61,54%";"61,82%";"61,82%";"58,39%";"64,04%";"60,72%";"64,04%";"64,04%";"61,25%";"64,04%";"68,14%";"62,52%";"14063607";"102476"
