"","Pos","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo"
"62","DEL","Mesa, Lautaro","$300.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","argentinos"
"63","DEL","Lenis, Reinaldo","$3.300.000","145","6,04","19,14","24","1","5","0","0","0","0","5","1","0","0","argentinos"
"64","DEL","Franzoia, Andrés","$3.500.000","107","5,10","10,31","21","0","3","0","0","0","0","0","1","0","0","argentinos"
"65","DEL","Cano, Lucas","$2.600.000","23","7,67","5,58","3","0","1","0","0","0","0","0","0","0","0","argentinos"
"66","DEL","Rodríguez, Nahuel","$300.000","53","4,84","0,00","1","0","1","0","0","0","0","7","1","0","0","argentinos"
"67","DEL","Castillejos, Gonzalo","$3.600.000","44","4,89","6,18","9","1","0","0","0","0","0","0","0","0","0","argentinos"
"68","ARQ","Andrada, Esteban","$2.500.000","110","4,40","11,82","25","1","0","0","33","0","5","4","0","0","0","arsenal"
"69","ARQ","Marussi, Alan","$500.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"70","ARQ","Limia, Oscar A.","$2.000.000","10","2,50","1,02","4","0","0","0","9","0","0","0","0","0","0","arsenal"
"71","DEF","Varga, Iván","$1.700.000","25","5,00","3,67","5","0","0","0","0","0","1","0","0","0","0","arsenal"
"72","DEF","Sánchez, Salvador","$300.000","9","4,50","1,28","2","0","0","0","0","0","0","0","0","0","0","arsenal"
"73","DEF","Sarulyte, Matías","$4.000.000","123","6,15","17,02","20","0","2","0","0","0","3","3","0","0","0","arsenal"
"74","DEF","Zaldivia, Matías","$2.600.000","97","5,39","11,95","18","0","1","0","0","0","4","5","0","0","0","arsenal"
"75","DEF","Luna, Fernando","$1.300.000","22","11,00","9,20","2","0","1","0","0","0","2","0","0","0","0","arsenal"
"76","DEF","Corvalán, Claudio","$2.500.000","12","4,00","1,51","3","0","0","0","0","0","0","1","0","0","0","arsenal"
"77","DEF","Curbelo, Jorge","$3.300.000","73","4,29","5,58","17","0","0","0","0","1","5","5","0","0","0","arsenal"
"78","DEF","Curado, Marcos","$700.000","73","4,56","6,45","16","0","0","0","0","0","3","4","0","0","0","arsenal"
"79","DEF","Rosero Valencia, D.","$2.900.000","55","4,23","6,87","13","0","0","0","0","0","4","3","2","0","0","arsenal"
"80","VOL","Esmerado, Gastón","$1.500.000","8","4,00","1,00","2","0","0","0","0","0","0","0","0","0","0","arsenal"
"81","VOL","Lértora, Federico","$2.300.000","64","5,33","9,92","12","0","1","0","0","0","0","4","0","0","0","arsenal"
"82","VOL","Fredes, Hernán","$3.800.000","67","4,79","6,45","14","0","0","0","0","0","0","3","0","0","0","arsenal"
"83","VOL","Giménez, Gonzalo","$400.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"84","VOL","Godoy, Leandro","$600.000","12","4,00","1,71","3","0","0","0","0","0","0","1","0","0","0","arsenal"
"85","VOL","Chávez, Cristian","$3.700.000","3","3,00","0,56","1","0","0","0","0","0","0","0","0","0","0","arsenal"
"86","VOL","Carrera, Ramiro","$2.500.000","113","5,14","21,51","22","1","3","0","0","0","0","7","1","0","0","arsenal"
"87","VOL","López, Ramiro","$3.000.000","71","5,92","12,97","12","1","1","0","0","0","0","0","0","0","0","arsenal"
"88","VOL","Ruiz, Ezequiel","$600.000","28","5,60","6,13","5","0","1","0","0","0","0","1","0","0","0","arsenal"
"89","VOL","Caneo, Miguel","$4.700.000","35","5,83","12,62","6","0","1","0","0","0","0","1","0","0","0","arsenal"
"90","VOL","Milo, Federico","$1.000.000","54","4,15","4,89","13","0","0","0","0","0","0","4","0","0","0","arsenal"
"91","VOL","Zaldívar, Matías","$1.200.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"92","VOL","Campos Toro, Matías","$2.500.000","73","5,21","9,31","14","0","1","0","0","0","0","2","0","0","0","arsenal"
"93","VOL","Bareiro, Ezequiel","$900.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"94","VOL","Flores, Gabriel","$300.000","19","3,80","2,43","5","0","0","0","0","0","0","2","0","0","0","arsenal"
"95","VOL","Marcone, Iván","$3.500.000","123","4,92","5,89","25","2","0","0","0","0","0","7","0","0","0","arsenal"
"96","DEL","Tréllez, Santiago","$1.700.000","39","6,50","8,61","6","0","1","1","0","0","0","1","0","0","0","arsenal"
"97","DEL","Laurito, Federico","$2.000.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"98","DEL","Rasic, Federico","$3.200.000","64","5,82","11,45","11","1","2","1","0","0","0","4","0","0","0","arsenal"
"99","DEL","Costa, Franco","$600.000","14","4,67","1,98","3","0","0","0","0","0","0","0","0","0","0","arsenal"
"100","DEL","Pugh, Lucas","$600.000","10","5,00","1,56","2","0","0","0","0","0","0","0","0","0","0","arsenal"
"101","DEL","Ciaccheri, Esteban","$1.000.000","4","4,00","0,52","1","0","0","0","0","0","0","0","0","0","0","arsenal"
"102","DEL","Herrera, Maximiliano","$900.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"103","DEL","Schmidt, Bryan","$300.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"104","DEL","Silva, Santiago","$4.900.000","145","6,59","25,61","22","2","5","3","0","0","0","6","0","0","0","arsenal"
"105","DEL","González, Gonzalo","$300.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"106","DEL","Zelaya, Emilio","$3.000.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","arsenal"
"107","DEL","Burzio, Pablo","$2.700.000","51","5,10","6,21","10","0","0","0","0","0","0","0","0","0","0","arsenal"
"108","DEL","Muñoz, Fabián","$3.400.000","92","4,60","5,46","20","0","0","0","0","0","0","2","0","0","0","arsenal"
"109","ARQ","Conde, Esteban","$3.200.000","42","3,82","6,91","11","0","0","0","18","0","2","1","0","0","0","atletico-rafaela"
"110","ARQ","Werner, Axel","$600.000","3","1,50","0,56","2","0","0","0","5","0","0","0","0","0","0","atletico-rafaela"
"111","ARQ","Rossetti, Guido","$400.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","atletico-rafaela"
"112","ARQ","De Giorgi, Carlos","$2.500.000","88","5,18","18,40","17","3","0","0","26","0","3","2","1","0","1","atletico-rafaela"
"113","DEF","Ré, Germán","$3.500.000","126","4,85","4,56","26","0","0","0","0","0","6","5","0","0","0","atletico-rafaela"
"114","DEF","Eluchans, Juan","$3.400.000","69","5,75","9,54","12","0","0","2","0","0","3","2","0","0","0","atletico-rafaela"
"115","DEF","Canavessio, Nicolás","$800.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","atletico-rafaela"
"116","DEF","Barboza, Alexander","$500.000","44","4,40","7,52","10","0","1","0","0","0","2","5","1","0","0","atletico-rafaela"
"117","DEF","Godoy, Leonardo","$300.000","70","5,38","10,22","13","1","0","0","0","0","2","2","0","0","0","atletico-rafaela"
"118","DEF","Gómez, Mauricio","$1.500.000","4","4,00","0,52","1","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"119","DEF","Colombo, Rodrigo","$300.000","31","5,17","4,57","6","0","0","0","0","0","2","1","0","0","0","atletico-rafaela"
"120","DEF","Urribarri, Bruno","$2.300.000","13","4,33","1,71","3","0","0","0","0","0","0","1","0","0","0","atletico-rafaela"
"121","DEF","Kruspzky, Lucas","$2.500.000","63","5,25","10,96","12","0","1","0","0","0","2","4","0","0","0","atletico-rafaela"
"122","DEF","Sacks, Joel","$3.000.000","58","4,83","6,46","12","0","0","0","0","0","2","1","0","0","0","atletico-rafaela"
"123","DEF","Martínez, Sebastián","$2.900.000","28","4,00","3,26","7","0","0","0","0","0","0","1","0","0","0","atletico-rafaela"
"124","VOL","Marino, Guillermo","$3.000.000","94","5,53","12,72","17","0","2","0","0","0","0","2","0","0","0","atletico-rafaela"
"125","VOL","Morales, Dimas","$2.000.000","57","5,70","9,42","10","0","1","0","0","0","0","0","0","0","0","atletico-rafaela"
"126","VOL","Montiel, Diego","$1.200.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","atletico-rafaela"
"127","VOL","Graciani, Gabriel","$3.200.000","83","5,53","9,98","15","0","1","0","0","0","0","0","0","0","0","atletico-rafaela"
"128","VOL","Cervantes, Facundo","$300.000","53","4,84","0,00","1","0","1","0","0","0","0","7","1","0","0","atletico-rafaela"
"129","VOL","Castellano, Mateo","$300.000","22","4,40","3,20","5","0","0","0","0","0","0","2","0","0","0","atletico-rafaela"
"130","VOL","Gaitán, Pablo","$1.500.000","2","2,00","0,13","1","0","0","0","0","0","0","1","0","0","0","atletico-rafaela"
"131","VOL","Rodríguez Rojas, G.","$2.000.000","4","4,00","0,52","1","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"132","VOL","Ferreyra, Osmar","$2.300.000","87","6,69","18,36","13","1","3","1","0","0","0","4","0","0","0","atletico-rafaela"
"133","VOL","Bastía, Adrián","$3.700.000","150","5,56","17,20","27","3","2","0","0","0","0","8","2","0","1","atletico-rafaela"
"134","VOL","Serrano, Walter","$3.200.000","113","4,52","7,91","25","0","2","0","0","0","0","5","3","0","0","atletico-rafaela"
"135","VOL","Morales, Gabriel","$500.000","50","5,00","7,89","10","0","1","0","0","0","0","2","0","0","0","atletico-rafaela"
"136","DEL","Parra, Facundo","$4.000.000","28","4,67","4,00","6","0","1","0","0","0","0","1","0","0","0","atletico-rafaela"
"137","DEL","Andrada, Federico","$1.500.000","23","4,60","4,78","5","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"138","DEL","Pussetto, Ignacio","$1.800.000","46","5,11","13,93","9","1","1","0","0","0","0","3","0","0","0","atletico-rafaela"
"139","DEL","Acuña, Carlos","$2.300.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","atletico-rafaela"
"140","DEL","Orsini, Nicolás","$1.400.000","32","4,57","3,86","7","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"141","DEL","Quiroga, Mauro","$1.000.000","4","4,00","0,52","1","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"142","DEL","Jominy, Franco","$800.000","58","5,80","9,00","10","0","2","0","0","0","0","1","0","0","0","atletico-rafaela"
"143","DEL","Sosa, Sergio","$1.000.000","17","4,25","2,11","4","0","0","0","0","0","0","0","0","0","0","atletico-rafaela"
"144","ARQ","Altamirano, Facundo","$500.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","banfield"
"145","ARQ","Pellegrino, Fernando","$2.200.000","29","4,83","4,77","6","0","0","0","8","0","2","0","0","0","0","banfield"
"146","ARQ","Bologna, Enrique","$3.500.000","156","6,24","15,16","25","2","0","0","24","0","9","2","0","0","0","banfield"
"147","DEF","Tevez, Nicolás","$500.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","banfield"
"148","DEF","Bianchi Arce, N.","$3.200.000","169","5,83","12,23","29","1","1","0","0","0","10","4","0","0","0","banfield"
"149","DEF","Rodríguez, Thomas","$300.000","53","0,00","0,00","0","0","1","0","0","0","4","7","1","0","0","banfield"
"150","DEF","Vittor, Sergio","$3.000.000","178","7,42","23,53","24","4","1","2","0","0","9","7","1","0","0","banfield"
"151","DEF","Bettini, Gonzalo","$2.000.000","72","5,14","7,84","14","0","0","0","0","0","6","4","0","0","0","banfield"
"152","DEF","Rodríguez, Jorge","$600.000","19","4,75","2,77","4","0","0","0","0","0","1","0","0","0","0","banfield"
"153","DEF","Soto, Alexis","$300.000","6","6,00","1,16","1","0","0","0","0","0","0","0","0","0","0","banfield"
"154","DEF","Noguera, Fabián","$3.100.000","82","6,31","15,73","13","0","1","0","0","0","7","4","0","0","0","banfield"
"155","DEF","Civelli, Luciano","$4.100.000","158","5,85","8,26","27","0","1","0","0","0","9","4","0","0","0","banfield"
"156","DEF","Díaz, Cristian","$2.900.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","banfield"
"157","DEF","Devaca, José","$2.300.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","banfield"
"158","VOL","Erviti, Walter","$4.400.000","117","5,09","7,02","23","1","0","0","0","0","0","5","0","0","0","banfield"
"159","VOL","Domingo, Nicolás","$3.900.000","147","5,07","2,62","29","0","0","0","0","0","0","9","0","0","0","banfield"
"160","VOL","Yeri, Nahuel","$2.300.000","90","4,50","5,38","20","0","0","0","0","0","0","6","1","0","0","banfield"
"161","VOL","Calzada, Maximiliano","$2.000.000","41","5,13","8,30","8","0","1","0","0","0","0","4","0","0","0","banfield"
"162","VOL","Cecchini, Emanuel","$700.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","banfield"
"163","VOL","Remedi, Eric","$300.000","11","5,50","1,90","2","0","0","0","0","0","0","0","0","0","0","banfield"
"164","VOL","Requena, Jonathan","$2.100.000","21","5,25","3,28","4","0","0","0","0","0","0","0","0","0","0","banfield"
"165","VOL","Cazares, Juan","$4.500.000","169","6,76","18,37","25","3","2","0","0","0","0","1","0","0","0","banfield"
"166","VOL","Rossi, Iván","$400.000","62","6,20","11,53","10","0","1","0","0","0","0","2","0","0","0","banfield"
"167","VOL","Abelairas, Matías","$3.400.000","5","5,00","0,81","1","0","0","0","0","0","0","0","0","0","0","banfield"
"168","DEL","Terzaghi, Emiliano","$2.100.000","24","4,80","3,36","5","0","0","0","0","0","0","1","0","0","0","banfield"
"169","DEL","Villagra, Claudio","$400.000","17","8,50","4,91","2","0","1","0","0","0","0","0","0","0","0","banfield"
"170","DEL","Simeone, Giovanni","$3.000.000","104","6,50","18,72","16","0","6","0","0","0","0","2","0","0","0","banfield"
"171","DEL","Chetti, Leandro","$1.600.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","banfield"
"172","DEL","Trinidad, Enzo","$900.000","5","5,00","0,81","1","0","0","0","0","0","0","0","0","0","0","banfield"
"173","DEL","Cuero, Mauricio","$3.700.000","219","7,55","15,81","29","5","7","0","0","0","0","2","0","0","0","banfield"
"174","DEL","Castillón, Facundo","$3.500.000","72","5,54","10,57","13","0","2","0","0","0","0","1","0","0","0","banfield"
"175","DEL","Asenjo, Mauricio","$2.000.000","39","6,50","8,08","6","0","2","0","0","0","0","0","0","0","0","banfield"
"176","DEL","Viatri, Lucas","$3.600.000","76","4,75","7,18","16","0","1","0","0","0","0","1","0","0","0","banfield"
"177","ARQ","Acosta, Lucas M.","$800.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","belgrano"
"178","ARQ","Olave, Juan Carlos","$4.000.000","199","6,86","11,97","29","3","0","0","20","0","12","2","0","0","0","belgrano"
"179","ARQ","Heredia, Pablo","$2.500.000","5","5,00","0,81","1","0","0","0","1","0","0","0","0","0","0","belgrano"
"180","DEF","Aveldaño, Lucas","$3.800.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","belgrano"
"181","DEF","Barrios, Pier","$2.900.000","69","5,31","8,94","13","0","0","0","0","0","7","0","2","0","0","belgrano"
"182","DEF","Alvarez, Federico","$1.200.000","69","4,93","6,48","14","0","0","0","0","0","6","5","0","0","0","belgrano"
"183","DEF","Pérez, Claudio","$3.200.000","163","6,52","16,71","25","1","2","1","0","1","9","6","0","2","0","belgrano"
"184","DEF","Escudero, Sergio","$3.700.000","96","7,38","21,43","13","0","3","0","0","0","5","7","0","0","0","belgrano"
"185","DEF","Turus, Gastón","$3.000.000","8","8,00","2,06","1","0","0","0","0","0","1","0","0","0","0","belgrano"
"186","DEF","Lema, Cristian","$2.400.000","144","5,76","10,43","25","0","1","1","0","1","11","11","0","1","0","belgrano"
"187","DEF","Saravia, Renzo","$2.800.000","142","5,68","8,60","25","1","0","0","0","1","10","5","1","0","0","belgrano"
"188","DEF","Espíndola López, Esteban","$300.000","24","6,00","4,29","4","0","0","0","0","0","2","0","0","0","0","belgrano"
"189","VOL","Zelarayán, Lucas","$6.200.000","210","7,78","27,53","27","5","5","0","0","0","0","3","0","0","0","belgrano"
"190","VOL","Mansanelli, César","$2.800.000","23","4,60","3,05","5","0","0","0","0","0","0","0","0","0","0","belgrano"
"191","VOL","Bolatti, Mario","$4.300.000","37","5,29","5,18","7","0","0","0","0","0","0","0","0","0","0","belgrano"
"192","VOL","Farré, Guillermo","$4.000.000","122","4,52","3,86","27","0","0","0","0","0","0","14","0","0","0","belgrano"
"193","VOL","Etevenaux, Iván","$1.900.000","19","4,75","2,77","4","0","0","0","0","0","0","1","0","0","0","belgrano"
"194","VOL","Parodi, Lucas","$2.000.000","111","5,05","7,88","22","0","1","0","0","0","0","5","0","0","0","belgrano"
"195","VOL","Alanis, Gabriel","$500.000","5","5,00","0,81","1","0","0","0","0","0","0","0","0","0","0","belgrano"
"196","VOL","Prediger, Sebastián","$3.300.000","111","5,05","9,68","22","0","1","0","0","0","0","5","2","0","0","belgrano"
"197","VOL","Rigoni, Emiliano","$3.900.000","168","6,46","24,11","26","3","4","0","0","0","0","0","0","0","0","belgrano"
"198","VOL","Velázquez, Jorge","$4.600.000","131","6,89","25,77","19","1","5","0","0","0","0","5","0","0","0","belgrano"
"199","VOL","Cochis, Germán","$500.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","belgrano"
"200","DEL","Obolo, Mauro","$4.200.000","151","5,39","7,03","28","0","5","0","0","0","0","2","0","0","0","belgrano"
"201","DEL","Becchio, Luciano","$2.900.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","belgrano"
"202","DEL","Luján, Nahuel","$400.000","3","3,00","0,29","1","0","0","0","0","0","0","1","0","0","0","belgrano"
"203","DEL","Zárate, Maximiliano","$300.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","belgrano"
"204","DEL","Valdemarín, Joel","$500.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","belgrano"
"205","DEL","Giordana, Santiago","$300.000","53","4,84","0,00","0","0","1","0","0","0","0","7","1","0","0","belgrano"
"206","DEL","Márquez, Fernando","$3.800.000","167","6,19","12,25","27","2","4","0","0","0","0","4","0","0","0","belgrano"
"207","ARQ","Sara, Guillermo","$3.800.000","70","6,36","13,49","11","0","0","0","10","0","6","2","0","0","0","boca"
"208","ARQ","Orion, Agustín","$5.500.000","110","5,24","13,29","21","0","0","0","16","0","10","3","3","0","0","boca"
"209","DEF","Monzón, Luciano","$3.000.000","114","6,71","22,49","17","1","1","0","0","0","9","3","0","0","0","boca"
"210","DEF","Peruzzi, Gino","$4.000.000","148","6,73","15,66","22","0","1","0","0","0","12","1","1","0","0","boca"
"211","DEF","Tobio, Fernando","$3.900.000","62","5,64","9,72","11","0","0","0","0","0","6","3","0","0","0","boca"
"212","DEF","Rolín, Alexis","$2.800.000","55","5,50","8,14","10","0","0","0","0","0","5","4","0","0","0","boca"
"213","DEF","Marín, Leandro","$2.800.000","26","6,50","5,32","4","0","0","0","0","0","2","0","0","0","0","boca"
"214","DEF","Magallán, Lisandro","$1.500.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","boca"
"215","DEF","Díaz, Daniel","$6.500.000","213","7,89","25,22","27","4","2","0","0","0","13","4","1","0","0","boca"
"216","DEF","Komar, Juan Cruz","$700.000","53","4,84","0,00","0","0","1","0","0","0","4","7","1","0","0","boca"
"217","VOL","Lodeiro, Nicolás","$5.200.000","155","8,16","32,54","19","5","3","1","0","0","0","2","0","0","0","boca"
"218","VOL","Gago, Fernando","$5.500.000","80","6,15","14,82","13","0","1","1","0","0","0","3","1","0","0","boca"
"219","VOL","Erbes, Cristian","$3.500.000","84","5,25","10,03","16","0","1","0","0","0","0","4","1","0","0","boca"
"220","VOL","Fuenzalida, José","$3.000.000","39","4,88","4,88","8","0","0","0","0","0","0","1","0","0","0","boca"
"221","VOL","Cubas, Adrián Andrés","$2.000.000","50","6,25","9,56","8","1","0","0","0","0","0","2","0","0","0","boca"
"222","VOL","Cristaldo, Franco","$800.000","21","7,00","5,68","3","0","1","0","0","0","0","0","0","0","0","boca"
